commodity,pilar,vencimento
Soja,SU6,2026-08-21
Soja,SX6,2026-10-23
Soja,SF7,2026-12-24
Soja,SH7,2027-02-19
Soja,SK7,2027-04-23
Soja,SN7,2027-06-25
Soja,SX7,2027-10-22
Milho CBOT,CU6,2026-08-21
Milho CBOT,CZ6,2026-11-20
Milho CBOT,CH7,2027-02-19
Milho CBOT,CK7,2027-04-23
Milho CBOT,CN7,2027-06-25
Milho CBOT,CU7,2027-08-27
Milho CBOT,CZ7,2027-11-26
Milho B3,CCMU6,2026-09-14
Milho B3,CCMX6,2026-11-16
Milho B3,CCMF7,2027-01-15
Milho B3,CCMH7,2027-03-15
Milho B3,CCMK7,2027-05-17
Milho B3,CCMN7,2027-07-15
Milho B3,CCMU7,2027-09-14
Algodão,CTV6,2026-09-11
Algodão,CTZ6,2026-11-13
Algodão,CTH7,2027-02-05
Algodão,CTK7,2027-04-16
Algodão,CTN7,2027-06-11
Algodão,CTV7,2027-09-10
Algodão,CTZ7,2027-11-12
Algodão,CTH8,2028-02-11
Algodão,CTK8,2028-04-13
Óleo de soja,BOU6,2026-08-21
Óleo de soja,BOV6,2026-09-25
Óleo de soja,BOZ6,2026-11-20
Óleo de soja,BOH7,2027-02-19
Óleo de soja,BOK7,2027-04-23
Óleo de soja,BON7,2027-06-25
Óleo de soja,BOQ7,2027-07-23
Óleo de soja,BOU7,2027-08-27
Farelo de soja,SMU6,2026-08-21
Farelo de soja,SMV6,2026-09-25
Farelo de soja,SMZ6,2026-11-20
Farelo de soja,SMF7,2026-12-24
Farelo de soja,SMH7,2027-02-19
Farelo de soja,SMK7,2027-04-23
